iter	Passed	Remaining
647	876	476
648	878	474
649	879	473
650	880	472
651	881	470
652	882	468
653	883	467
654	884	465
655	884	464
656	885	462
657	886	460
658	887	459
659	888	457
660	889	456
661	890	454
662	890	452
663	891	451
664	892	449
665	893	448
666	895	447
667	896	445
668	897	444
669	898	442
670	900	441
671	901	439
672	902	438
673	903	436
674	904	435
675	904	433
676	905	432
677	906	430
678	907	428
679	908	427
680	909	426
681	910	424
682	911	423
683	912	421
684	913	420
685	914	418
686	915	416
687	915	415
688	916	413
689	917	412
690	918	410
691	919	409
692	920	407
693	921	406
694	921	404
695	923	403
696	924	401
697	925	400
698	927	399
699	928	397
700	929	396
701	930	394
702	931	393
703	932	391
704	933	390
705	933	388
706	935	387
707	936	386
708	937	384
709	939	383
710	940	382
711	942	381
712	943	379
713	944	378
714	945	377
715	947	375
716	948	374
717	949	372
718	950	371
719	951	369
720	953	368
721	955	367
722	956	366
723	957	365
724	958	363
725	959	362
726	960	360
727	961	359
728	963	358
729	964	356
730	965	355
731	965	353
732	967	352
733	969	351
734	970	349
735	971	348
736	972	347
737	973	345
738	975	344
739	976	343
740	977	341
741	978	340
742	979	338
743	980	337
744	981	336
745	983	334
746	984	333
747	986	332
748	987	330
749	988	329
750	988	327
751	989	326
752	991	325
753	992	323
754	993	322
755	994	320
756	995	319
757	996	318
758	998	316
759	999	315
760	1000	314
761	1001	312
762	1002	311
763	1003	310
764	1004	308
765	1005	307
766	1007	306
767	1008	304
768	1009	303
769	1010	301
770	1011	300
771	1013	299
772	1014	297
773	1015	296
774	1016	295
775	1017	293
776	1018	292
777	1019	290
778	1020	289
779	1021	287
780	1021	286
781	1022	285
782	1023	283
783	1024	282
784	1025	280
785	1026	279
786	1027	278
787	1029	276
788	1030	275
789	1031	274
790	1032	272
791	1032	271
792	1034	269
793	1035	268
794	1036	267
795	1037	265
796	1038	264
797	1038	262
798	1039	261
799	1040	260
800	1041	258
801	1043	257
802	1044	256
803	1045	254
804	1046	253
805	1047	252
806	1048	250
807	1049	249
808	1050	248
809	1051	246
810	1052	245
811	1053	243
812	1053	242
813	1054	241
814	1055	239
815	1056	238
816	1058	237
817	1059	235
818	1060	234
819	1061	232
820	1062	231
821	1063	230
822	1064	228
823	1065	227
824	1066	226
825	1067	224
826	1068	223
827	1068	222
828	1069	220
829	1071	219
830	1072	218
831	1073	216
832	1074	215
833	1076	214
834	1076	212
835	1078	211
836	1078	210
837	1079	208
838	1080	207
839	1081	205
840	1082	204
841	1083	203
842	1084	201
843	1085	200
844	1085	199
845	1087	197
846	1088	196
847	1089	195
848	1090	194
849	1091	192
850	1093	191
851	1094	190
852	1095	188
853	1095	187
854	1096	186
855	1097	184
856	1098	183
857	1099	181
858	1100	180
859	1101	179
860	1102	177
861	1103	176
862	1105	175
863	1106	174
864	1107	172
865	1108	171
866	1109	170
867	1109	168
868	1110	167
869	1111	166
870	1112	164
871	1113	163
872	1114	162
873	1115	160
874	1116	159
875	1118	158
876	1119	157
877	1120	155
878	1121	154
879	1122	153
880	1123	151
881	1124	150
882	1125	149
883	1125	147
884	1126	146
885	1127	145
886	1128	143
887	1129	142
888	1130	141
889	1131	139
890	1133	138
891	1134	137
892	1135	136
893	1136	134
894	1137	133
895	1138	132
896	1139	130
897	1140	129
898	1141	128
899	1142	126
900	1143	125
901	1144	124
902	1145	123
903	1146	121
904	1148	120
905	1149	119
906	1150	117
907	1151	116
908	1152	115
909	1153	114
910	1154	112
911	1155	111
912	1156	110
913	1157	108
914	1158	107
915	1159	106
916	1160	105
917	1161	103
918	1163	102
919	1164	101
920	1165	99
921	1166	98
922	1167	97
923	1168	96
924	1169	94
925	1170	93
926	1171	92
927	1172	90
928	1173	89
929	1174	88
930	1176	87
931	1180	86
932	1181	84
933	1182	83
934	1183	82
935	1184	80
936	1185	79
937	1187	78
938	1188	77
939	1189	75
940	1191	74
941	1193	73
942	1195	72
943	1196	70
944	1197	69
945	1198	68
946	1199	67
947	1201	65
948	1202	64
949	1203	63
950	1205	62
951	1207	60
952	1208	59
953	1210	58
954	1211	57
955	1212	55
956	1213	54
957	1214	53
958	1215	51
959	1217	50
960	1218	49
961	1219	48
962	1221	46
963	1224	45
964	1225	44
965	1227	43
966	1228	41
967	1229	40
968	1230	39
969	1231	38
970	1233	36
971	1234	35
972	1236	34
973	1238	33
974	1240	31
975	1242	30
976	1243	29
977	1244	28
978	1246	26
979	1247	25
980	1248	24
981	1250	22
982	1252	21
983	1253	20
984	1255	19
985	1256	17
986	1258	16
987	1259	15
988	1260	14
989	1262	12
990	1263	11
991	1265	10
992	1268	8
993	1269	7
994	1271	6
995	1272	5
996	1273	3
997	1275	2
998	1277	1
999	1278	0
